timestamp,open,high,low,close,volume
2025-01-01 00:00:00,100.4,101.09,99.94,100.4,674
2025-01-01 01:00:00,100.4,100.75,99.63,100.29,636
2025-01-01 02:00:00,100.29,101.76,99.41,100.8,1725
2025-01-01 03:00:00,100.8,102.79,99.85,102.02,2222
2025-01-01 04:00:00,102.02,102.62,101.6,101.84,485
2025-01-01 05:00:00,101.84,102.49,100.71,101.65,3381
2025-01-01 06:00:00,101.65,103.39,101.11,102.91,574
2025-01-01 07:00:00,102.91,103.85,102.58,103.53,517
2025-01-01 08:00:00,103.53,103.95,102.64,103.15,3700
2025-01-01 09:00:00,103.15,104.37,102.17,103.58,1054
2025-01-01 10:00:00,103.58,103.7,102.67,103.21,4958
2025-01-01 11:00:00,103.21,103.42,102.45,102.84,1305
2025-01-01 12:00:00,102.84,103.18,102.17,103.03,4859
2025-01-01 13:00:00,103.03,103.17,101.19,101.5,4220
2025-01-01 14:00:00,101.5,102.37,99.96,100.12,2090
2025-01-01 15:00:00,100.12,100.86,99.46,99.67,4905
2025-01-01 16:00:00,99.67,100.2,98.65,98.86,3672
2025-01-01 17:00:00,98.86,99.3,98.63,99.12,4480
2025-01-01 18:00:00,99.12,99.66,98.16,98.39,4258
2025-01-01 19:00:00,98.39,98.92,96.58,97.26,4857
2025-01-01 20:00:00,97.26,98.69,97.0,98.43,2813
2025-01-01 21:00:00,98.43,98.92,97.84,98.25,2303
2025-01-01 22:00:00,98.25,98.76,97.34,98.31,3220
2025-01-01 23:00:00,98.31,98.96,96.64,97.17,1066
2025-01-02 00:00:00,97.17,97.84,96.03,96.73,3532
2025-01-02 01:00:00,96.73,96.96,96.47,96.82,788
2025-01-02 02:00:00,96.82,97.26,95.62,95.9,4343
2025-01-02 03:00:00,95.9,96.86,95.76,96.2,3801
2025-01-02 04:00:00,96.2,96.75,95.47,95.72,441
2025-01-02 05:00:00,95.72,96.59,95.13,95.48,1824
2025-01-02 06:00:00,95.48,96.18,94.74,95.0,4522
2025-01-02 07:00:00,95.0,96.73,94.82,96.48,1892
2025-01-02 08:00:00,96.48,96.65,96.27,96.47,1859
2025-01-02 09:00:00,96.47,97.15,95.11,95.63,3312
2025-01-02 10:00:00,95.63,96.41,95.34,96.29,1089
2025-01-02 11:00:00,96.29,96.91,94.88,95.31,2362
2025-01-02 12:00:00,95.31,96.42,94.76,95.48,2582
2025-01-02 13:00:00,95.48,96.09,93.19,93.91,1051
2025-01-02 14:00:00,93.91,94.36,92.71,92.85,822
2025-01-02 15:00:00,92.85,93.68,92.03,93.0,3489
2025-01-02 16:00:00,93.0,94.11,92.34,93.59,2179
2025-01-02 17:00:00,93.59,94.32,93.42,93.73,2817
2025-01-02 18:00:00,93.73,94.68,92.75,93.64,2432
2025-01-02 19:00:00,93.64,94.09,92.47,93.4,3476
2025-01-02 20:00:00,93.4,94.36,92.06,92.22,4624
2025-01-02 21:00:00,92.22,93.13,91.29,91.64,1600
2025-01-02 22:00:00,91.64,91.92,90.45,91.27,385
2025-01-02 23:00:00,91.27,92.28,90.5,92.12,3595
2025-01-03 00:00:00,92.12,92.58,91.85,92.39,2165
2025-01-03 01:00:00,92.39,92.51,90.69,90.98,868
2025-01-03 02:00:00,90.98,91.43,90.55,91.24,3157
2025-01-03 03:00:00,91.24,91.96,90.4,90.93,4389
2025-01-03 04:00:00,90.93,91.1,89.73,90.39,2261
2025-01-03 05:00:00,90.39,91.27,89.96,90.88,3393
2025-01-03 06:00:00,90.88,92.57,90.36,91.7,1046
2025-01-03 07:00:00,91.7,92.57,90.93,92.45,3435
2025-01-03 08:00:00,92.45,93.28,91.65,91.78,4250
2025-01-03 09:00:00,91.78,92.13,91.2,91.53,4995
2025-01-03 10:00:00,91.53,92.0,90.79,91.8,4973
2025-01-03 11:00:00,91.8,93.3,90.89,92.58,1581
2025-01-03 12:00:00,92.58,93.24,91.63,92.19,2001
2025-01-03 13:00:00,92.19,93.08,91.47,92.04,3551
2025-01-03 14:00:00,92.04,92.81,90.96,91.16,4164
2025-01-03 15:00:00,91.16,91.98,89.7,90.2,154
2025-01-03 16:00:00,90.2,91.21,89.62,90.85,1923
2025-01-03 17:00:00,90.85,92.2,90.53,91.94,3562
2025-01-03 18:00:00,91.94,92.71,91.54,91.88,3179
2025-01-03 19:00:00,91.88,93.51,91.44,92.68,932
2025-01-03 20:00:00,92.68,93.96,92.56,92.97,4508
2025-01-03 21:00:00,92.97,93.44,92.07,92.46,2906
2025-01-03 22:00:00,92.46,93.18,92.17,92.75,2590
2025-01-03 23:00:00,92.75,94.77,92.35,93.98,427
2025-01-04 00:00:00,93.98,94.38,93.74,93.95,3410
2025-01-04 01:00:00,93.95,96.14,93.05,95.2,3400
2025-01-04 02:00:00,95.2,96.07,92.47,93.1,3775
2025-01-04 03:00:00,93.1,94.25,92.39,93.76,3154
2025-01-04 04:00:00,93.76,94.61,92.95,93.83,2243
2025-01-04 05:00:00,93.83,94.61,93.04,93.59,1411
2025-01-04 06:00:00,93.59,93.86,93.41,93.66,3291
2025-01-04 07:00:00,93.66,94.58,91.49,92.07,2638
